Day;Commits;Lines added;Lines removed;Unique Contributors
19/08/14;79;3769;2463;42
18/08/14;70;55234;46498;37
17/08/14;5;231;5;5
16/08/14;13;459;358;8
15/08/14;62;1742;1734;30
14/08/14;90;2600;1704;49
13/08/14;61;190568;1585;43
12/08/14;89;163853;3276;43
11/08/14;42;3196;1384;28
10/08/14;7;15;15;5
09/08/14;5;387;7;4
08/08/14;55;2521;2345;36
07/08/14;58;12902;2806;37
06/08/14;69;2147;991;40
05/08/14;56;2104;621;30
04/08/14;65;4707;1537;31
03/08/14;1;40;9;1
02/08/14;17;169;320;10
01/08/14;85;3595;3211;49
31/07/14;59;3204;1396;39
30/07/14;77;4753;4056;43
29/07/14;50;3579;676;31
28/07/14;46;2448;1024;33
27/07/14;6;347;140;5
26/07/14;14;81;41;9
25/07/14;72;2652;994;43
24/07/14;64;2193;870;33
23/07/14;41;3984;2527;31
22/07/14;56;3589;1602;38
21/07/14;56;6855;2452;33
20/07/14;11;567;154;9
19/07/14;17;545;204;12
18/07/14;73;2268;1191;42
17/07/14;61;2707;1579;37
16/07/14;66;2059;808;40
15/07/14;93;2689;1376;49
14/07/14;83;6630;1594;40
13/07/14;10;327;154;4
12/07/14;18;2860;848;10
11/07/14;68;5879;5016;33
10/07/14;67;2934;2132;36
09/07/14;78;4182;3127;47
08/07/14;47;14663;1950;29
07/07/14;55;966;403;37
06/07/14;5;2;1;4
05/07/14;11;298;151;6
04/07/14;54;1437;293;28
03/07/14;78;7188;5511;36
02/07/14;67;2416;874;41
01/07/14;68;3034;1485;37
30/06/14;73;1439;2003;41
29/06/14;17;688;208;8
28/06/14;18;172;185;8
27/06/14;65;1555;664;31
26/06/14;132;2991;1206;48
25/06/14;72;2738;1370;40
24/06/14;55;3568;2940;29
23/06/14;63;5511;3877;31
22/06/14;7;26;33;6
21/06/14;23;2301;666;11
20/06/14;86;2319;1329;43
19/06/14;89;5030;1891;45
18/06/14;94;1739;806;46
17/06/14;79;1894;1229;39
16/06/14;82;2215;985;39
15/06/14;15;213;145;5
14/06/14;24;761;688;11
13/06/14;89;2154;1240;41
12/06/14;98;3700;1942;47
11/06/14;87;4489;2834;41
10/06/14;82;4574;2145;49
09/06/14;80;2589;876;46
08/06/14;24;5569;1480;14
07/06/14;29;5594;3984;14
06/06/14;97;4421;3123;53
05/06/14;125;5015;1613;59
04/06/14;103;7779;3295;50
03/06/14;92;8767;6040;48
02/06/14;45;4376;3329;27
01/06/14;8;1020;73;5
31/05/14;17;20;170;11
30/05/14;73;9189;3189;46
29/05/14;61;5408;3243;39
28/05/14;62;2049;863;35
27/05/14;51;4125;4501;33
26/05/14;45;2894;800;26
25/05/14;5;1230;429;4
24/05/14;8;178;62;7
23/05/14;67;4211;3692;38
22/05/14;83;4663;1558;47
21/05/14;81;3592;1733;45
20/05/14;80;14565;12116;47
19/05/14;57;7002;3634;38
18/05/14;10;324;322;6
17/05/14;9;4915;3828;8
16/05/14;39;1116;311;23
15/05/14;59;3270;714;31
14/05/14;67;4758;1083;41
13/05/14;65;1712;1014;35
12/05/14;54;5868;2533;32
11/05/14;4;0;0;3
10/05/14;6;33;6;5
09/05/14;62;5920;5128;35
08/05/14;75;4789;2540;34
07/05/14;58;5367;3503;31
06/05/14;61;12318;11656;29
05/05/14;55;5309;4759;34
04/05/14;6;52;6;3
03/05/14;10;13;14;8
02/05/14;32;191;92;20
01/05/14;35;2595;1317;19
30/04/14;76;3430;1544;35
29/04/14;67;4910;2852;30
28/04/14;55;3521;2841;32
27/04/14;4;2710;290;4
26/04/14;13;3111;1880;9
25/04/14;48;6042;6869;28
24/04/14;84;10246;8076;39
23/04/14;66;3108;2163;42
22/04/14;59;4332;3907;38
21/04/14;32;115098;114481;19
20/04/14;5;0;0;3
19/04/14;11;39;22;6
18/04/14;40;4753;3146;26
17/04/14;65;8136;4591;30
16/04/14;59;2092;1448;29
15/04/14;62;13507;11601;41
14/04/14;45;1852;735;32
13/04/14;8;50;20;6
12/04/14;13;252;648;7
11/04/14;62;5061;2494;38
10/04/14;75;6060;3909;40
09/04/14;49;853;474;32
08/04/14;58;7676;3562;32
07/04/14;59;11020;10536;33
06/04/14;6;2524;2421;4
05/04/14;11;2961;1570;8
04/04/14;30;421;219;21
03/04/14;56;9290;8486;30
02/04/14;85;5545;1731;39
01/04/14;53;9512;8806;30
31/03/14;71;7711;4726;33
30/03/14;5;52;6;4
29/03/14;5;244;180;4
28/03/14;78;16966;17299;39
27/03/14;84;8995;6188;44
26/03/14;81;13872;14377;46
25/03/14;82;13713;4266;41
24/03/14;66;16145;11670;34
23/03/14;15;690;217;7
22/03/14;21;1881;4182;13
21/03/14;47;2265;1206;21
20/03/14;62;12109;11410;34
19/03/14;78;6258;1789;42
18/03/14;58;1004;359;32
17/03/14;70;2978;2086;26
16/03/14;7;652;202;7
15/03/14;3;288;44;3
14/03/14;56;2057;920;31
13/03/14;45;1863;1439;26
12/03/14;43;3006;1336;24
11/03/14;70;14243;2925;44
10/03/14;43;1365;1361;28
09/03/14;8;504;145;6
08/03/14;5;9;4;5
07/03/14;39;1428;578;25
06/03/14;55;2079;1046;22
05/03/14;68;2651;1598;38
04/03/14;41;983;376;22
03/03/14;45;3152;5302;27
02/03/14;10;128;103;6
01/03/14;12;621;372;7
28/02/14;46;1391;716;35
27/02/14;69;2866;1651;38
26/02/14;79;1869;796;41
25/02/14;51;1201;310;33
24/02/14;60;5542;4272;36
23/02/14;5;217;155;4
22/02/14;9;101;62;7
21/02/14;74;2325;2507;39
20/02/14;35;630;65;25
19/02/14;39;383;136;24
18/02/14;59;3330;1998;35
17/02/14;47;2220;1076;28
16/02/14;1;0;0;1
15/02/14;16;902;398;10
14/02/14;72;25740;20990;32
13/02/14;59;3173;1821;28
12/02/14;81;2513;1275;41
11/02/14;51;1255;593;31
10/02/14;54;1684;698;30
09/02/14;5;2;3;4
08/02/14;7;195;248;7
07/02/14;52;8338;5295;30
06/02/14;74;1359;578;46
05/02/14;70;5908829;5908292;28
04/02/14;47;1742;931;28
03/02/14;50;2216;1196;19
02/02/14;15;5907980;5908013;6
01/02/14;4;133;5;4
31/01/14;50;5908894;5908163;28
30/01/14;33;11815785;11815656;17
29/01/14;64;4732;2702;35
28/01/14;73;23755;2425;35
27/01/14;60;2908;2877;33
26/01/14;5;1;1;5
25/01/14;8;741;143;6
24/01/14;54;798;298;37
23/01/14;61;23139;22419;34
22/01/14;67;1465;960;34
21/01/14;32;3803;3421;23
20/01/14;35;1059;438;25
19/01/14;3;108;108;2
18/01/14;11;87;100;4
17/01/14;64;38159;29102;33
16/01/14;68;3479;4732;34
15/01/14;71;4761;3729;37
14/01/14;85;2076;1177;35
13/01/14;69;1147;483;38
12/01/14;4;11;125;2
11/01/14;15;965;1085;5
10/01/14;63;7127;1150;36
09/01/14;74;50355;43504;46
08/01/14;52;1501;653;36
07/01/14;54;2544;2020;25
06/01/14;40;1756;654;20
05/01/14;4;0;0;3
04/01/14;4;55;343;3
03/01/14;20;487;221;13
02/01/14;32;1421;774;14
01/01/14;5;11203;11191;4
31/12/13;3;58;32;2
30/12/13;4;398;324;2
29/12/13;1;0;0;1
27/12/13;4;11;2;4
26/12/13;7;65;13;7
25/12/13;9;391;182;6
24/12/13;23;150;53;15
23/12/13;16;1842;2139;9
22/12/13;8;285;146;5
21/12/13;9;806;735;8
20/12/13;69;3657;1418;29
19/12/13;71;3602;902;37
18/12/13;67;1626;927;35
17/12/13;56;1449;801;30
16/12/13;81;1741;833;42
15/12/13;6;44;10;3
14/12/13;7;135;181;6
13/12/13;72;7432;2765;33
12/12/13;58;968;576;35
11/12/13;58;10704;7515;32
10/12/13;64;8176;2768;37
09/12/13;38;480;185;27
08/12/13;2;0;0;2
07/12/13;4;20;1285;4
06/12/13;50;3152;8731;31
05/12/13;70;5793;3223;37
04/12/13;75;4716;1085;46
03/12/13;45;1931;2243;25
02/12/13;60;4082807;2669880;34
01/12/13;2;0;0;2
30/11/13;6;2;1;6
29/11/13;66;3601;1862;28
28/11/13;79;2078;1122;34
27/11/13;75;6702;2324;40
26/11/13;82;5975;689;42
25/11/13;56;638;385;32
24/11/13;8;0;0;4
23/11/13;9;178;175;7
22/11/13;61;226294;1897;29
21/11/13;71;21316;6361;31
20/11/13;54;857;594;37
19/11/13;52;1756;658;31
18/11/13;49;814;326;28
17/11/13;8;2;2;4
16/11/13;11;3101;878;8
15/11/13;55;6631;2347;32
14/11/13;62;1919;557;42
13/11/13;58;2363;5682;35
12/11/13;66;6111;3400;41
11/11/13;60;2676;145096;29
10/11/13;11;123;139;9
09/11/13;12;452;175;5
08/11/13;58;2550;1076;30
07/11/13;78;4705;1331;42
06/11/13;47;2520;589;26
05/11/13;61;2217;1396;38
04/11/13;32;2352;1659;22
03/11/13;3;64;245;2
02/11/13;13;6145;6069;7
01/11/13;41;1501;406;20
31/10/13;45;3474;802;27
30/10/13;57;4235824;4235179;31
29/10/13;48;2631;1142;32
28/10/13;37;56009;50561;28
27/10/13;6;106;30;4
26/10/13;14;328;403;8
25/10/13;47;3530;1673;33
24/10/13;44;2585;2173;30
23/10/13;44;2376;284;27
22/10/13;44;8122;7698;28
21/10/13;62;859;155;32
20/10/13;5;1092;1033;5
19/10/13;17;4233308;4234253;8
18/10/13;30;4233589;4233386;17
17/10/13;41;7933;7493;22
16/10/13;56;1677;900;31
15/10/13;49;834;426;34
14/10/13;51;679;408;29
13/10/13;6;7;11;3
12/10/13;9;255;24;4
11/10/13;31;187;105;17
10/10/13;28;461;378;14
09/10/13;40;2119;1839;22
08/10/13;27;7979;5963;16
07/10/13;34;130;90;15
06/10/13;13;39;31;7
05/10/13;10;125;57;7
04/10/13;30;691;359;18
03/10/13;49;1521;1184;24
02/10/13;66;1367;491;31
01/10/13;63;1795;1132;30
30/09/13;49;4775;2825;26
29/09/13;9;19;192;6
28/09/13;5;32;43;5
27/09/13;59;3943;2611;36
26/09/13;41;683;398;25
25/09/13;91;9889;8099;46
24/09/13;45;1279;1250;27
23/09/13;39;13397;12408;24
22/09/13;5;0;0;3
21/09/13;5;784;104;3
20/09/13;34;3706;885;22
19/09/13;31;6521;3213;17
18/09/13;26;417;62;15
17/09/13;40;12663;1687;24
16/09/13;39;433;174;24
15/09/13;10;0;0;4
14/09/13;1;0;0;1
13/09/13;77;12367;5276;34
12/09/13;82;5969;2293;46
11/09/13;56;3036;1604;31
10/09/13;70;3294;2620;40
09/09/13;67;3868;1232;37
08/09/13;8;454;240;5
07/09/13;7;8;3;6
06/09/13;41;8078;1451;23
05/09/13;56;12869;11921;26
04/09/13;53;5774;4744;28
03/09/13;40;2082;1171;22
02/09/13;25;3448;69;17
01/09/13;3;0;0;3
31/08/13;8;2873;670;6
30/08/13;41;7659;6364;24
29/08/13;38;2970;936;24
28/08/13;52;581596;192936;29
27/08/13;48;2221;970;30
26/08/13;31;1974;3861;18
25/08/13;3;51;0;2
24/08/13;27;1492628;7794;9
23/08/13;57;1516;597;22
22/08/13;51;165;99;19
21/08/13;41;1119;294;16
20/08/13;68;17521;8071;26
19/08/13;56;2887;1877;20
18/08/13;1;16;56;1
17/08/13;17;29284;25486;6
16/08/13;51;1642;523;24
15/08/13;44;1278;839;18
14/08/13;42;1981;1698;15
13/08/13;28;1890;1120;17
12/08/13;36;224;85;18
11/08/13;1;0;0;1
10/08/13;10;6961;4104;7
09/08/13;38;934;1991;18
08/08/13;54;2187;625;24
07/08/13;44;1996;1434;24
06/08/13;46;732;495;28
05/08/13;54;791;202;21
04/08/13;8;6;3;7
03/08/13;6;479;254;5
02/08/13;21;439;95;16
01/08/13;39;4728;4337;25
31/07/13;24;146658;268;14
30/07/13;29;495;117;18
29/07/13;36;245;92;20
28/07/13;1;0;0;1
27/07/13;7;154;27;4
26/07/13;31;2525;945;21
25/07/13;25;972;1122;15
24/07/13;46;2002;1558;30
23/07/13;44;4330;3446;25
22/07/13;20;4247;900;18
21/07/13;4;18;9;3
20/07/13;2;0;0;2
19/07/13;25;1570;497;15
18/07/13;30;2075;685;22
17/07/13;29;650;242;20
16/07/13;34;13069;6145;25
15/07/13;36;912;214;20
14/07/13;1;2;1;1
13/07/13;9;0;0;8
12/07/13;28;909;359;21
11/07/13;36;1558;474;20
10/07/13;55;795;262;32
09/07/13;23;946;631;15
08/07/13;33;528;398;21
06/07/13;6;915;408;4
05/07/13;19;93;74;13
04/07/13;31;38056;9143;22
03/07/13;28;1137;176;20
02/07/13;32;994;404;19
01/07/13;28;1206;926;22
